ID,Investigators,Institution,Title,Submit_Year,Start_Year,Description
967335,Dr Robyn L Malby,Walter and Eliza Hall Institute,Recognition of immunoglobulin and viral proteins by integrin receptors,1995,1996,
977309,Dr Gabrielle T Belz,Walter and Eliza Hall Institute,Characterisation of ligands on stromal cells involved in B lymphocyte development,1996,1997,
977325,Dr Dianna J Gould,University of Queensland,Neurotransmitter-induced pharmaco- and electromechanical coupling in the arteriolar wall,1996,1997,
977326,Dr Justine D Graham,University of Sydney,Mutant and variant progesterone receptors in breast cancer,1996,1997,
977453,Ms Jacqueline C Montanaro,University of Sydney,Virulence factors in legionella longbeachae,1996,1997,
977477,Dr Nirupama D. Verma,University of New South Wales,Role of TH2 cytokines in transplant tolerance,1996,1997,
980993,Prof John  Hopper,University of Melbourne,Australian NHMRC Twin Registry,1997,1998,
982806,Prof Peter  Reeves,University of Sydney,The Australian Genomic Information Centre,1997,1998,
983302,Prof David L Copolov,University of Melbourne,NHMRC NETWORK FOR BRAIN RESEARCH INTO MENTAL DISORDERS,1997,1998,
983601,Prof Barry J Marshall,University of Western Australia,A centre for helicobacter pylori research,1997,1998,
987021,Dr Michael H Kershaw,Peter MacCallum Cancer Centre,Redirection of immune cells against tumor vasculature,1997,1998,
987029,Dr Helen E MacLean,University of Melbourne,The hormonal regulation of cell proliferation and differentiation in muscle and bone.,1997,1998,
987038,Dr M J Sweet,University of Queensland,Bacterial DNA and DNA vaccines as regulators of macrophage function and as a therapeutic approach to Leishmani,1997,1998,
987089,Dr Margaret A Kelaher,University of Melbourne,Impact of ethnicity and migration on women's health and health service utilisation,1997,1998,
987151,Dr Livia C Hool,University of Western Australia,Effects of hypoxia & ischemia on sensitivity of ion channels to beta&alpha-adrenergic recept in card myocytes,1997,1998,
987421,Ms Jane E Harford,University of Adelaide,"Audit commisions, Public Sector Health Care and Public Health, an alternative economic approach",1997,1998,
987428,Dr Louise A Keogh,La Trobe University,"Private choices, public consequences: women's use of the ",1997,1998,
987447,Dr Tian N Zhuang,University of Sydney,Epidemiology of Prostate Size in Healthy Australian Men,1997,1998,
987576,Dr Graeme P Maguire,Menzies School of Health Research,Haemophilus influenzae in suppurative lung disease,1997,1998,
987631,Dr Romesh  Markus,University of Melbourne,Identifying threatened tissue after stroke using PET,1997,1998,
987637,Dr David G Bowen,Centenary Institute of Cancer Medicine and Cell Biology,Biology of liver lymphocytes in immune responses,1997,1998,
987642,Dr A  Gilligan,University of Melbourne,Acute stroke: A population based study of the factors influencing early presentation to health care facilities,1997,1998,
990024,Prof Patrick M Sexton,Howard Florey Institute,How do receptor activity modifying proteins (RAMPs) regulate receptor phenotype,1998,1999,
990034,A/Pr Janet R Keast,University of New South Wales,Maintenance of neuron structure and function by testosterone,1998,1999,
990035,A/Pr Wallace Y Langdon,University of Western Australia,An analysis of c-Cbl function by gene targeting of sequences involved in protein interactions,1998,1999,
990080,Prof Richard  Harding,Monash University,EARLY DEVELOPMENTAL COMPROMISES: EFFECTS ON POSTNATAL RESPIRATORY AND CARDIOVASCULAR FUNCTION,1998,1999,
990093,Dr Janet C Wanstall,University of Queensland,Drug action in experimental pulmonary hypertension: studies on pulmonary vascular function and structure,1998,1999,
990232,Prof Judith L Black,University of Sydney,Airway hyperresponsiveness in vitro- molecular mechanisms,1998,1999,
990269,A/Pr Malcolm J McConville,University of Melbourne,Regulation of glycosylation pathways in parasitic protozoa,1998,1999,
